city,name,url,rating,city_final,latitude,longitude,latitude2,longitude2,description
Beauvoir,Château de La Ballue - Teritoria,https://www.booking.com/hotel/fr/chateau-de-la-ballue.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&nflt=ht_id%3D204&srpvid=1e6f560b169903f5&srepoch=1726661656&all_sr_blocks=18810513_206351807_0_2_0&highlighted_blocks=18810513_206351807_0_2_0&matching_block_id=18810513_206351807_0_2_0&sr_pri_blocks=18810513_206351807_0_2_0__31300&from_sustainable_property_sr=1&from=searchresults,9.2,Le Mont-Saint-Michel,48.4252115019916,-1.56556425721297,48.44317692,-1.53843194,"Set in a castle dating back to the 17th-Century, Château de La Ballue - Teritoria is classed as an Historic Monument and is surrounded by large gardens. The property is located between Saint-Malo and Mont Saint-Michel.

All rooms and suites are decorated in an elegant yet modern style with wooden period furniture. The private bathrooms include a bathrobe, slippers and free organic toiletries. Free WiFi access is also available in the room.

A buffet breakfast with local fresh products is available each morning and is served in the château's dining room.

Featuring old trees, topiaries and fountains, the remarkable gardens combine perspective, shade and light. Guests can use the outdoor spa and sauna, which has views of the Douves Garden and you can also relax on the deckchairs by the pond.

On-site private parking is provided and possible nearby activities include golfing."
Besançon,Gîtes de l'Orée du Bois,https://www.booking.com/hotel/fr/gites-de-l-39-oree-du-bois.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&nflt=ht_id%3D204&srpvid=9c88560bfe1d01f6&srepoch=1726661656&all_sr_blocks=390593807_385359639_2_2_0&highlighted_blocks=390593807_385359639_2_2_0&matching_block_id=390593807_385359639_2_2_0&sr_pri_blocks=390593807_385359639_2_2_0__13340&from_sustainable_property_sr=1&from=searchresults,9.2,Besançon,47.1403667834269,5.88322924529768,47.1583322,5.9096987,"Offering a garden and garden view, Gîtes de l'Orée du Bois is situated in Boussières, 17 km from Besancon Viotte Train Station and 17 km from Besançon-Mouillère train station. The air-conditioned accommodation is 14 km from Micropolis. There is a sun terrace and guests can make use of free WiFi, free private parking and an electric vehicle charging station.

Each unit features a fully equipped kitchen with a dishwasher, a seating area, a flat-screen TV, a washing machine, and a private bathroom with shower and a hair dryer. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle. All units have bed linen.

A selection of options including fresh pastries, fruits and juice is available for the continental breakfast. For those times when you'd rather not dine out, you can choose to cook on the barbecue.

Guests at the aparthotel will be able to enjoy activities in and around Boussières, like walking tours. If you would like to discover the area, cycling, fishing and hiking are possible in the surroundings and Gîtes de l'Orée du Bois can arrange a bicycle rental service.

Besançon Franche-Comté TGV train station is 26 km from the accommodation, while Besançon Vesoul University is 16 km from the property. The nearest airport is Dole-Jura Airport, 61 km from Gîtes de l'Orée du Bois."
Castellane,Hotel Les Restanques De Moustiers,https://www.booking.com/hotel/fr/les-restanques-de-moustiers.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=29543302_326752595_0_0_0&highlighted_blocks=29543302_326752595_0_0_0&matching_block_id=29543302_326752595_0_0_0&sr_pri_blocks=29543302_326752595_0_0_0__15330&from_sustainable_property_sr=1&from=searchresults,9.1,Gorges du Verdon,43.8216573920728,6.19706322184185,43.83962281,6.22201681,"This Provencal-style hotel has a floral terrace and is only 500 metres from the village of Moustiers Sainte Marie. Surrounded by nature, Hotel Les Restanques De Moustiers offers panoramic views.

Guest rooms are decorated in warm colours with floor-to-ceiling windows allowing plenty of natural light. They are equipped with a flat-screen TV and feature a private bathroom.

Hotel Les Restanques De Moustiers serves a daily buffet breakfast which can be enjoyed on the terrace.  In the evenings guests can relax with a drink at the bar.

The hotel is only 5 km from the Sainte-Croix Lake, where there are opportunities for canoeing, sailing and swimming. The Gorges du Verdon are 5 km away and free private parking is available on site."
Beauvoir,Ducey Appart'Hôtel - Les Rivières,https://www.booking.com/hotel/fr/ducey-appart-les-rivieres.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=1e6f560b169903f5&srepoch=1726661656&all_sr_blocks=1175167703_394898766_4_2_0&highlighted_blocks=1175167703_394898766_4_2_0&matching_block_id=1175167703_394898766_4_2_0&sr_pri_blocks=1175167703_394898766_4_2_0__13390&from=searchresults,9.0,Le Mont-Saint-Michel,48.6024661018379,-1.31716304049834,48.62043152,-1.28993558,"Set 25 km from Mont Saint Michel Abbey, 25 km from Mont Saint-Michel and 37 km from Granville Train Station, Ducey Appart'Hôtel - Les Rivières offers accommodation situated in Ducey. The property features city and quiet street views, and is 13 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel. The aparthotel has family rooms.

All units come with a flat-screen TV with satellite channels, microwave, a coffee machine, a shower, free toiletries and a wardrobe. With a private bathroom, units at the aparthotel also feature free WiFi. At the aparthotel, units are fitted with bed linen and towels.

An à la carte breakfast is available every morning at the property and includes fresh pastries and juice.

Champrepus Zoo is 39 km from the aparthotel, while Granville's Marina is 39 km from the property."
Sélestat,Gite Villa Avril piscine- jacuzzi- sauna - 15 Pers-proche Europapark,https://www.booking.com/hotel/fr/villa-avril.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=5865396&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=b5fd560b217b05ae&srepoch=1726661656&all_sr_blocks=798177901_360913653_15_0_0&highlighted_blocks=798177901_360913653_15_0_0&matching_block_id=798177901_360913653_15_0_0&sr_pri_blocks=798177901_360913653_15_0_0__117000&from_sustainable_property_sr=1&from=searchresults,9.0,Château du Haut-Kœnigsbourg,48.2414995333971,7.42121866663502,48.25946495,7.44825334,"Gite Villa Avril piscine- jacuzzi- sauna - 15 Pers-proche Europapark is a recently renovated villa in Sélestat, where guests can makes the most of its outdoor swimming pool, spa and wellness centre and garden. This property offers access to a terrace, table tennis, free private parking and free WiFi. The property is non-smoking and is situated 14 km from Le Haut Koenigsbourg Castle.

Boasting a game console, the spacious villa has a fully equipped kitchen with a dishwasher, an oven and a microwave, 2 living rooms with a seating area and a dining area, 5 bedrooms, and 4 bathrooms with a hot tub and a bath. Guests can enjoy an ambient stay in their soundproof room with parquet floors and a fireplace. The villa offers bed linen, towels and laundry service.

Barbecue facilities are at guests' disposal and guests can also relax in the shared lounge area.

Colmar Expo is 21 km from the villa, while House of the Heads is 24 km from the property. The nearest airport is Strasbourg International Airport, 39 km from Gite Villa Avril piscine- jacuzzi- sauna - 15 Pers-proche Europapark."
Beauvoir,La Ramade - Teritoria,https://www.booking.com/hotel/fr/la-ramade.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&nflt=ht_id%3D204&srpvid=1e6f560b169903f5&srepoch=1726661656&all_sr_blocks=5451621_347281385_3_2_0&highlighted_blocks=5451621_347281385_3_2_0&matching_block_id=5451621_347281385_3_2_0&sr_pri_blocks=5451621_347281385_3_2_0__20225&from_sustainable_property_sr=1&from=searchresults,9.0,Le Mont-Saint-Michel,48.6756861845111,-1.40201181082892,48.6936516,-1.37474477,"Composed of 2 villas and situated 400 metres from Avranches Train Station in Mont Saint Michel's bay, La Ramade - Teritoria is a mansion surrounded by well-established gardens. It offers en suite rooms with free Wi-Fi.

All rooms at La Ramade - Teritoria are soundproofed. One of the villas has rooms with romantic feel and are decorated in a flower theme while the other offers contemporary-style rooms. Most rooms have views of the gardens or surrounding countryside and some are serviced by a lift.

Breakfast is served in a glass-roofed breakfast room that looks out onto a flowery garden. Le P’tit Bonheur provides beverages in a tea room and wine bar area.

The Mont Saint Michel is 20 km from La Ramade - Teritoria. The seaside town of Granville is 22 km away. Free private parking is available on site."
Castellane,Hotel Le Moulin du Château,https://www.booking.com/hotel/fr/le-moulin-du-chateau.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=23979401_370889880_0_34_0&highlighted_blocks=23979401_370889880_0_34_0&matching_block_id=23979401_370889880_0_34_0&sr_pri_blocks=23979401_370889880_0_34_0__13930&from_sustainable_property_sr=1&from=searchresults,8.9,Gorges du Verdon,43.7077513789502,6.04267314899316,43.7257168,6.06757924,"Le Moulin Du Château is a former olive oil mill, located in Saint-Laurent-du-Verdon, Provence. It offers rooms with satellite TV and free Wi-Fi.

The hotel also has a lounge, terrace and a garden surrounded by the Verdon Nature Park. The original mill room is now used as a games room with pool table and library.

The hotel's restaurant serves organic seasonal cuisine.

Guests have free access to the nearby tennis court and there are canoeing and hiking facilities nearby.

Le Moulin Du Château is close to the Grand Canyon and the Lake of Ste-Croix. Aix-en-Provence is an hour’s drive away."
Castellane,Hôtel Spa Les Alpes,https://www.booking.com/hotel/fr/des-alpes-gra-c-oux-les-bains.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=5932710_88556034_2_2_0&highlighted_blocks=5932710_88556034_2_2_0&matching_block_id=5932710_88556034_2_2_0&sr_pri_blocks=5932710_88556034_2_2_0__16430&from_sustainable_property_sr=1&from=searchresults,8.9,Gorges du Verdon,43.7407312884502,5.85713505082914,43.75869671,5.88205487,"Ideally located near the famous Gorges du Verdon and Lavender Route, the hotel offers 3-star accommodation close to the Templars Castle in Gréoux-les-Bains, just 14 km from Valensole.

Hôtel Spa Les Alpes features air-conditioned rooms in exceptional surroundings, an outdoor swimming pool and free on-site parking. The restaurant serves both traditional and contemporary cuisine and features a shady terrace.

Gréoux-les-Bains is a charming Provencal village known for its pure thermal waters and its large choice of activities (spa, traditional markets, museums, churches, excursions, water sports and casino)."
"Annecy City Centre, Annecy",Rivage Hôtel & Spa Annecy,https://www.booking.com/hotel/fr/rivage-amp-spa-annecy.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=720658209_358409785_4_2_0&highlighted_blocks=720658209_358409785_4_2_0&matching_block_id=720658209_358409785_4_2_0&sr_pri_blocks=720658209_358409785_4_2_0__92790&from_sustainable_property_sr=1&from=searchresults,8.9,Annecy,45.8877335834269,6.1260871043344,45.905699,6.151953,"Featuring 4-star accommodation, Rivage Hôtel & Spa Annecy is set in Annecy, 2.1 km from Palais de l Ile and 2.2 km from Chateau d'Annecy. The property is close to several noted attractions, around 1.7 km from Bridge of Love and around 1.8 km from Bonlieu Performing Arts Centre. The property is close to popular attractions like Annecy School of Art, Annecy Town Hall and Annecy Court House.

All guest rooms in the hotel are equipped with a flat-screen TV. The rooms come with air conditioning, and selected rooms also offer a balcony.

A buffet breakfast is served every morning at the property. The hotel features a restaurant open for lunch and diner with a terrace facing the Lake of Annecy.

The property boasts an indoor swimming pool, with sauna, hammam, hot tub and fitness room with free access. Spa massages and yoga session are available at an extra cost.

Guests can find 2 private parking on site (indoor and outdoor) available at an extra cost.

Non-stop information is available at the reception, where staff speak English and French.

Annecy Court House is 2 km from Rivage Hôtel & Spa Annecy, while Church of St. Francis is 2.1 km from the property. Chambéry-Savoie Airport is 37 km away."
