city,name,url,rating,city_final,latitude,longitude,latitude2,longitude2,description
Sélestat,Le Château du Haut-Koenigsbourg,https://www.booking.com/hotel/fr/les-residence-des-chateaux-forts-d-39-alsace.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=5865396&dest_type=hotel&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=b5fd560b217b05ae&srepoch=1726661656&soh=1&from=searchresults#no_availability_msg,8.8,Château du Haut-Kœnigsbourg,48.2388058585689,7.42540421525328,48.25677128,7.45243746,"Offering city views, Le Château du Haut-Koenigsbourg is an accommodation situated in Sélestat, 24 km from House of the Heads and 24 km from Saint-Martin Collegiate Church. It is set 14 km from Le Haut Koenigsbourg Castle and offers free WiFi plus a 24-hour front desk. The property is non-smoking and is located 21 km from Colmar Expo.

The spacious apartment is fitted with 3 separate bedrooms, 1 bathroom, a fully equipped kitchen with a dining area and oven, and a living room with a flat-screen TV. Towels and bed linen are offered in the apartment.

Colmar Train Station is 25 km from the apartment, while Würth Museum is 27 km from the property. The nearest airport is Strasbourg International Airport, 39 km from Le Château du Haut-Koenigsbourg."
"Annecy City Centre, Annecy",Allobroges Park Hôtel,https://www.booking.com/hotel/fr/tiallobroges.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=5037015_354823257_0_2_0&highlighted_blocks=5037015_354823257_0_2_0&matching_block_id=5037015_354823257_0_2_0&sr_pri_blocks=5037015_354823257_0_2_0__17820&from_sustainable_property_sr=1&from=searchresults,8.8,Annecy,45.8842211891775,6.09794078685643,45.90218661,6.12380505,"Set in Annecy City Centre, this 3-star hotel is located a 10-minute walk from Annecy Chateau. It has a 24-hour reception and offers free WiFi access.

All guest room are soundproofed and air-conditioned. They offer work desk and an LCD TV. Some rooms feature exposed beams. The private bathrooms are fitted with a hairdryer and free toiletries.

The onsite bar is open 24/7 and there is a terrace open during summer.

Lake Annecy is a 10-minute walk from Allobroges Hotel. Private Parking is available upon prior reservation only and subject to availability. Annecy Train Station is 260 metres away."
Castellane,Le Relais Notre Dame,https://www.booking.com/hotel/fr/relais-notre-dame.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=36071302_389091850_2_2_0&highlighted_blocks=36071302_389091850_2_2_0&matching_block_id=36071302_389091850_2_2_0&sr_pri_blocks=36071302_389091850_2_2_0__11940&from_sustainable_property_sr=1&from=searchresults,8.8,Gorges du Verdon,43.681123453981,6.01234440534967,43.69908887,6.03723943,"Located at the entrance to Quinson village, next to the prehistoric museum, Le Relais Notre Dame is 300 metres from the Verdon River and a 20-minute drive from Sainte-Croix Lake. The property features an outdoor swimming pool and a restaurant with a terrace.

Combining a modern and Mediterranean décor, all rooms are equipped with free Wi-Fi. The private bathrooms have either a bathtub or shower and offer complimentary toiletries upon arrival.

Breakfast can be enjoyed in the breakfast room or in guests’ rooms. The hotel’s restaurant offers a seasonal menu with fresh, local produce, accompanied by a range of wines from the bar.

During their stay guests are invited to relax on the sunloungers by the swimming pool, or enjoy the colourful gardens. Additional facilities at this hotel include free private parking available on site."
"Annecy City Centre, Annecy",Le Pélican,https://www.booking.com/hotel/fr/le-pelican-annecy1.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=756018803_332440559_2_2_0&highlighted_blocks=756018803_332440559_2_2_0&matching_block_id=756018803_332440559_2_2_0&sr_pri_blocks=756018803_332440559_2_2_0__23990&from_sustainable_property_sr=1&from=searchresults,8.8,Annecy,45.8790495834269,6.10568114969585,45.897015,6.131543,"Situated in Annecy, 37 km from Rochexpo, Le Pélican features accommodation with a seasonal outdoor swimming pool, private parking, a terrace and a restaurant. With free WiFi, this 4-star hotel offers room service and a 24-hour front desk. Guests can make use of a bar.

The hotel will provide guests with air-conditioned rooms offering a desk, a coffee machine, a fridge, a safety deposit box, a flat-screen TV and a private bathroom with a shower. All rooms have a wardrobe.

Breakfast is available each morning, and includes buffet, continental and gluten-free options.

Bourget Lake is 38 km from Le Pélican, while Stade de Genève is 43 km from the property. The nearest airport is Chambéry-Savoie Airport, 43 km from the accommodation."
"Annecy City Centre, Annecy",Hébé Hotel,https://www.booking.com/hotel/fr/alery.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=86042311_343681957_2_2_0&highlighted_blocks=86042311_343681957_2_2_0&matching_block_id=86042311_343681957_2_2_0&sr_pri_blocks=86042311_343681957_2_2_0__27890&from_sustainable_property_sr=1&from=searchresults,8.8,Annecy,45.8824529538554,6.09448106915901,45.90041837,6.1203445,"
New hotel - Opening May 2021.

Hébé Hotel is located in the centre of Annecy, a 10-minute walk from the lake.

The hotel rooms each include a flat-screen satellite TV and a private bathroom with complimentary toiletries.

A continental breakfast is available each day. Annecy offers an array of bars and restaurants. The closest can be found just 300 metres from the hotel.

The property is located just 250 metres from the train station and bus station. Local sites of interest may include the town hall, St Maurice Church, and Saint-Pierre Cathedral."
"Annecy City Centre, Annecy",Cote Ouest,https://www.booking.com/hotel/fr/cote-ouest.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=49621607_394999594_0_0_0&highlighted_blocks=49621607_394999594_0_0_0&matching_block_id=49621607_394999594_0_0_0&sr_pri_blocks=49621607_394999594_0_0_0__20690&from_sustainable_property_sr=1&from=searchresults,8.8,Annecy,45.8583826800147,6.11606979658019,45.8763481,6.14192203,"Facing Lake Annecy, Cote Ouest is a 15-minute drive from Annecy Train Station. It offers self-catering accommodation, free Wi-Fi throughout, and a continental breakfast is available at a supplement.

The apartments feature a flat-screen TV with a DVD player and a terrace with views of the surrounding mountains and lake. Each bedroom has a wardrobe and the private bathrooms include a shower and hairdryer.

The fully-equipped kitchens have a dishwasher, refrigerator, oven, a coffee machine and kitchenware. Bakeries, shops and restaurants can be found within walking distance. Ironing and laundry facilities are also provided, and a concierge service, bike rental and in-room breakfast service are available.

Nearby outdoor activities include water activities on Lake Annecy during summer, as well as hiking and paragliding. There is a private beach located next to the property offering special offers and activities for guests. In the winter Cote Ouest offers a shuttle service to numerous ski resorts, which are within 35 km of the property."
Castellane,Logis Hôtel Le Vieil Amandier,https://www.booking.com/hotel/fr/logis-le-vieil-amandier.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=25157802_392433573_2_2_0&highlighted_blocks=25157802_392433573_2_2_0&matching_block_id=25157802_392433573_2_2_0&sr_pri_blocks=25157802_392433573_2_2_0__7676&from_sustainable_property_sr=1&from=searchresults,8.8,Gorges du Verdon,43.7430288223375,6.41710959876116,43.76099424,6.44203037,"Le Vieil Amandier is located in the small village of Trigance, in the heart of the Verdon Nature Reserve. Its facilities include an outdoor swimming pool and free on-site parking.

The guest rooms are equipped with a private bathroom. Some rooms have direct access to the hotel garden.

Guests can have breakfast on the terrace overlooking the pool and Jabron Plain or in the main dining room. Restaurants can be found in the village.

Logis Hotel Le Vieil Amandier has a Spa & Wellness Centre including a sauna and a hot tub at an extra cost."
"Annecy City Centre, Annecy",Hôtel Le Pré Carré,https://www.booking.com/hotel/fr/leprecarre.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=5315414_81662140_2_2_0&highlighted_blocks=5315414_81662140_2_2_0&matching_block_id=5315414_81662140_2_2_0&sr_pri_blocks=5315414_81662140_2_2_0__20890&from_sustainable_property_sr=1&from=searchresults,8.7,Annecy,45.8845310289839,6.10025538889274,45.90249645,6.12611979,"Le Pré Carré is a hotel located in the heart of Annecy, just 250 metres from Lake Annecy.

Guest rooms at Le Pré Carré are soundproofed and equipped with flat-screen TV and free Wi-Fi access. All rooms are serviced by a lift.

The hotel offers a buffet breakfast, which can be served in your room. Le Pré Carré also provides a business centre, a 24-hour reception and on-site parking."
Beauvoir,Hôtel Victor Hugo,https://www.booking.com/hotel/fr/victor-hugo-pontorson.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&nflt=ht_id%3D204&srpvid=1e6f560b169903f5&srepoch=1726661656&all_sr_blocks=226833403_289837599_0_0_0&highlighted_blocks=226833403_289837599_0_0_0&matching_block_id=226833403_289837599_0_0_0&sr_pri_blocks=226833403_289837599_0_0_0__18400&from=searchresults,8.7,Le Mont-Saint-Michel,48.5349837062864,-1.53525009676055,48.55294912,-1.50805897,"Located in Pontorson, 10 km from Mont Saint Michel Abbey, Hôtel Victor Hugo provides accommodation with a garden, free private parking, a terrace and a bar. The property is around 23 km from Scriptorial d'Avranches, musee des manuscrits du Mont Saint-Michel, 39 km from Port of Houle and 43 km from The Pointe du Grouin. The property is non-smoking and is set 10 km from Mont Saint-Michel.

At the hotel, every room is fitted with a wardrobe, a flat-screen TV, a private bathroom, bed linen and towels. All rooms are equipped with a safety deposit box and free WiFi, while some rooms will provide you with a city view.

Solidor Tower is 45 km from Hôtel Victor Hugo, while Granville Train Station is 48 km away. The nearest airport is Rennes–Saint-Jacques Airport, 83 km from the accommodation."
"Annecy City Centre, Annecy",Impérial Palace,https://www.booking.com/hotel/fr/imperial-palace.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&nflt=ht_id%3D204&srpvid=916b560b48c10239&srepoch=1726661656&all_sr_blocks=5434001_270549348_2_2_0&highlighted_blocks=5434001_270549348_2_2_0&matching_block_id=5434001_270549348_2_2_0&sr_pri_blocks=5434001_270549348_2_2_0__24690&from=searchresults,8.7,Annecy,45.8857815696647,6.1188291037136,45.90374699,6.14469409,"Located in the heart of the French Alps, Impérial Palace is a 4-star hotel is on the edge of Lake Annecy, 1.6 km from Annecy's centre. It offers air-conditioned accommodation, a spa and a casino. Free WiFi is provided.

Each guest room at L'Imperial Palace has a minibar and a flat-screen TV with satellite channels. Most rooms also have a balcony with a view of the lake and surrounding mountains or park. A courtesy tray with tea is available in each room.

The hotel’s gastronomic restaurant, La Voile, provides traditional French cuisine. Meals are served on a shaded terrace overlooking the lake. L'Impérial Palace also has a a more casual restaurant called La Brasserie, a bar, and a lounge where guests can enjoy homemade pastries, snacks and a full buffet breakfast.

The onsite 600 m² spa includes a swimming pool, an experience shower, a sauna, a hammam, an ice fountain, a spa bath and private treatment rooms. Impérial Palace offers also offers a business centre.

Free parking is available on site. Charging stations for electric cars are available at this property. Geneva International Airport is 40 km away and Annecy Train Station is 1.5 km from the hotel. Annecy Château is 2 km away."
Castellane,La Bastide du Calalou; BW Signature Collection,https://www.booking.com/hotel/fr/bastide-du-calalou.en-gb.html?label=en-fr-booking-desktop-Akb7DsuMl_04Kj1fagYeEgS652796016858%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp1006094%3Ali%3Adec%3Adm&sid=f2480d4adff900632cc88bb076d858c9&aid=2311236&ucfs=1&arphpl=1&checkin=2024-09-18&checkout=2024-09-19&dest_id=2746&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&nflt=ht_id%3D204&srpvid=b15f560b36611a46&srepoch=1726661656&all_sr_blocks=21427312_366530944_2_42_0&highlighted_blocks=21427312_366530944_2_42_0&matching_block_id=21427312_366530944_2_42_0&sr_pri_blocks=21427312_366530944_2_42_0__18842&from_sustainable_property_sr=1&from=searchresults,8.7,Gorges du Verdon,43.6364009674548,6.14462804384087,43.65436638,6.16950452,"Bastide Du Calalou is located a 30-minute drive from the Gorges du Verdon and a 20-minute drive from the Sainte-Croix Lake. It features a heated, outdoor swimming pool, a tennis court and elegant guestrooms that overlook the Aups Valley.

Rooms at Bastide Du Calalou are equipped with free WiFi and a flat-screen TV with satellite channels. Some rooms also have a DVD and video player.

A full breakfast buffet is served daily and Bastide’s restaurant serves regional cuisine, prepared with local produce. Guests can enjoy lunch and dinner in the restaurant or on the terrace.

Bastide Du Calalou is close to the village of Tourtour and the black truffle market, which is the third largest in France and open from December to April."
